,title,description,publishedAt,channelId
0,Srce Cde,"Hey, I'm Chirag; known as Srce Cde on the internet. On my YouTube channel, I post technical tutorial videos. My tutorials are mainly focused on Cloud ...",2010-04-23T10:28:23Z,UCwDlyuX3Fkg5WNBufLnH6dw
1,Srce Cde in Hindi,"Namashkar dosto, Me hu Chirag aur me aapka Srce Cde in Hindi channel me swagat karta hu. Ye mera dusra channel he aur me yaha hindi me content post ...",2020-06-18T05:33:07Z,UCooUM00QHpzDEcfkNGRm0Ag
